44979e71b392d7a7223d9fa04dcd43eb6a66b39b|init|feat(repo): scaffold project with core value types
788b40094c5641a5c47a3c0cd43ac5bfcb6d89ba|stogares|feat(storage): add codec, api and multi-backend storage skeleton
d42ce774aee531f09d9462cb34cdf27a098185c0|...|feat(storage): add sled storage backend
7c3364ac1298902f75a2509bbb96039dbf1f1f21|...|fix(storage): small sled backend tweak
e1530966ffa42f1abb52a4893c600c7eff1555c0|storage|feat(storage): add nebari and persy storage backends
2c0d9699a40b5d7a5cd61893119cf4626d642b4d|engine|feat(engine): add interner and table skeleton
a0074ad4dee444fa6939e2964443698eb3995031|....|refactor(core): extend interner API
a82b981236e2aa4b730ef56eacbf8be6c9dd4a26|....|refactor(core): extend transform pipeline
cefa51592678c2e40a04f18dbdd2abe0e5851c7a|....|refactor(core): tidy transform logic
ddf4854f0ca0a2c3288a592c1ac166db2cad1f3e|....|refactor(core): rework transform pipeline
35bb5d78ebd4dfae2cae0603ba8fd294ff9aa103|....|feat(core): extend interner functionality
413d7b74ef1e43a808f50242118772b1d0566cab|....|feat(types): add record id type
02477c598647aeef6f0776807080d79bac392a0e|....|feat(types): extend value type
716d865c83df27547ee80edd81dca991f93bc077|....|feat(types): expand value type surface
3bd6f19fbcfb4799b74c0a7824eb44c580f8d756|....|refactor(types): restructure value type
f4c660a37534c66d232405e238c87014438b5970|....|feat(types): extend value type further
0a539d49229380943a6b892939557a8e54e89fc8|....|refactor(storage): rework storage types
02efb2cc6173c96ae3d3184f875eeba75b53d416|....|refactor(types): clean up value type
bfc20c4a5cd089d53618159e40c0f0fbd76f86d5|....|refactor(storage): simplify redb backend
5dedb8ebf32f53fd26ba63797e7e7186c6c68a42|....|refactor(storage): simplify fjall backend
db3cc474e243a0a72b5772685bb9ea081bc7d56c|....|refactor(storage): align fjall and redb backends
1ab0caf53b0edc684050a205d3d0803d473569be|....|refactor(storage): tidy fjall backend
aa7bcb7bbae08225b9675573b950d63979955a5b|....|refactor(storage): simplify canopy backend
3d687350ce0c5844f2e1cf8938a7f8f4228039fe|....|refactor(storage): simplify fjall backend further
4685f14301c41a83b638d3bcceb5bcff17d62c05|....|refactor(storage): simplify nebari backend
987e1bc8869c00f44cf0bcce4ee267650b38b968|....|refactor(storage): simplify persy backend
5654413a4471097674c2e12a6aa09ab45f73fd94|....|refactor(storage): simplify sled backend
264b57344ec4b14eeede4a40afbac44a6254b404|....|refactor(storage): rework surreal backend
ed3dc293744f4e2701fe035df71105ea6fd8957f|....|chore(storage): drop surreal backend
eb9513d7a7366b072a1964c6bd562604f5791b78|....|refactor(engine): move interner logic into table
1c50ce7088bce245479afbaedfc7ff32ca31a757|....|feat(engine): add interner and table implementation
dda7a255f541be449ff4a787853110a97d02db9c|....|feat(storage): extend storage types
e0c00027d9955ff0745ed1e576df83c8ccde54e8|....|feat(storage): add shared backend test scaffolding
1938ac1d6219e8ce8e3c0f1ebb5c741fea1f0553|....|fix(storage): small redb/sled fixes
894f1b7ec48fd07c67f04169a487911f16928744|....|docs(repo): add module READMEs
52bb94f5a2f110380cab9b51f5cacc8cc42de364|....|refactor(storage): tidy storage types
eb39f2e70554f77f0ca75db30251b2f3ec2e0b2b|....|refactor(storage): align backend implementations
4c85403ecba2d4fa31638548626df68d7104dbed|....|feat(engine): extend table implementation
e16592558a42bf7a1fdbb94ec23e12cf1015ccad|....|docs(engine): add index engine design docs
98730550136c274aaa8d864026c30167373b4e59|....|feat(engine): add index types and wire into table
99cd11125b1bdd7b01d9288ea3f7afb0d70c8fc1|....|refactor(engine): rework index module
62eaae0ae052963f5f67c8f4d12324b4a5dadecf|....|docs(engine): add index creation design doc
d2cea3adfff4dcee2cecf31be338871ddb89526a|....|feat(engine): extend table with index support
878017aa8b64ef995401b14762d7e42f1dc94407|....|docs(engine): add table design doc and extend table
64a3d61549a3d3ce6117a9b303849cb56bda08d0|....|docs(engine): expand index and table design docs
e69f4e825d9f60e48c892bf3e0a4d272f8c68f27|....|docs(engine): add index comparison and in-memory/LRU indexing docs
aab22fe936beb770761c399cec5dac4157048322|....|docs(engine): add index module README
e2530dfdbaef8a4b45d8b0d55c70f8f421406b41|....|feat(engine): add concurrent index engine prototype
ed8377b043a0d58d33c820d5f7b01c93ef55e4fb|....|chore(engine): drop obsolete index design docs and prototype
0be18d89913844e93c47943d50deaa6c127f96ec|....|refactor(engine): rename index types module to target
7422ca3912ef7fbd6aec5793c8f4b2aa316ab6d1|....|refactor(engine): extend index target module
e67b003a910882a91424fa4062048cf10e4cf2c4|....|docs(repo): add agent rules doc
b5818df148751e7ad823681d3fd25196b41442d3|....|refactor(engine): rename index def module to items
15c22a8a7ffda8b12762c7c63533bf37551331fb|....|refactor(engine): rename index items module to item
dc9320dae51b6966bb649398510b373862966b6b|....|refactor(engine): tidy table implementation
b228536328693be5611c08c92627ceaad2638daf|....|refactor(engine): simplify table and index target
1ddd8604a930492a8c8475bc963d54d8d7d9b897|....|chore(engine): remove dead code from table
97311b96793c3cb158d4a1ebdc09f44ed259b441|....|refactor(engine): tidy table implementation
c1798cf34d6cae20b9fa2acdaad583ae38ca342a|....|refactor(core): simplify interner
396a0ae54b114f69b3576266ff48d19b184b6bfc|....|refactor(engine): remove dead code from table
64d3f0b0c0cd7ccf71d8093e5839e85df473049b|....|feat(engine): add index manager
b488ec6edb342119b5ea68f1a6265102f49d2873|....|refactor(engine): rename index modules for clarity
e349b88496da18e1847b9551810f5d519a029086|....|feat(storage): extend backends with new operations
b838458962bbc0b816b18ea5dd71148391df54ce|....|refactor(storage): tidy canopy and fjall backends
33fa073c386f2a54979bd47992987a3a2204632f|....|refactor(storage): simplify backend type signatures
5e5e177e28f01acac0d49c4b3736edb9b5f316cf|....|fix(engine): small table index manager fix
a9dcfcbe8233936d511eccad555261180aa6e3f4|....|feat(engine): add index record scaffold
fb26abf75936b6feb1b964561790192b210d05ef|....|feat(engine): implement index record
b684fa19cc71b5f633ca0a2e69a6c73e575ac022|....|refactor(engine): tidy index info
f857959bb9926c2b90a13c2bf3bc07112f6733f1|....|chore(storage): export storage module item
091acc2e165aef4fa6a59a6168107ab41201893b|....|refactor(engine): extract index definition and slim table
5fc889b3950684334376b17b2031e94d6bd73572|....|feat(storage): add in-memory storage backend
d5914c7984e2acf538f016530e416ec5dae0d32b|....|feat(storage): add cached storage backend
9eed810ca59d10031204eb7a9d3b905cfe9a3f30|....|refactor(storage): rework cached backend
fb925ff984af46671bf278d08df41eeca9322b15|....|feat(storage): extend cached backend
0f6936875db4246f277029a3f126889f705d067d|....|fix(storage): small cached backend fix
a3b0556b2afcc8d34a09a70e38af3df924836f62|....|refactor(engine): rework index record
df208d5494539f64e2af26e2ccac40e77964b92f|....|docs(repo): expand README documentation
fdb961850f6570343558411efda2e1a26ee998bb|....|chore(deps): add new dependency
170402075a2a34af0f1cb485947ab3496fd1dcb1|....|feat(engine): add codec and extend index/record types
5be334acb3230ae41ee7bfad8aca6def7832b185|....|refactor(types): tidy record id
53cbed5c22f3b68e73ddc50eb9cc05b2cc745e4c|....|feat(codecs): add interned json and msgpack codecs
